date,open,close,high,low,volume,isOpen
2018/10/15,46.36,46.71,47.62,46.08,9588604,1
2018/10/16,46.73,45.74,47.23,45.07,6500534,1
2018/10/17,46.48,47.09,47.43,45.66,11078797,1
2018/10/18,46.78,45.96,47.08,45.49,8426453,1
2018/10/19,44.87,46.8,47.05,43.79,12055720,1
2018/10/22,47.38,49.77,49.96,47.33,16974984,1
2018/10/23,49.61,48.23,49.75,47.08,11590780,1
2018/10/24,48.07,48.54,49.5,47.78,10503494,1
2018/10/25,47.13,49.36,49.51,46.67,11137549,1
2018/10/26,49.75,48.39,49.9,47.75,7714631,1
2018/10/29,48.4,47.16,48.75,46.68,6961386,1
2018/10/30,47.22,46.31,47.51,44.67,9694647,1
2018/10/31,46.22,46.57,47.22,45.88,6145062,1
2018/11/1,47.01,45.48,47.27,44.77,10953904,1
2018/11/2,46.23,47.79,47.92,45.48,13981936,1
2018/11/5,47.77,48.02,48.89,46.98,11061263,1
2018/11/6,47.94,47.4,47.95,46.68,5592313,1
2018/11/7,46.38,47.03,47.82,46.37,6986038,1
2018/11/8,47.45,48.75,49.32,47.45,14283587,1
2018/11/9,48.57,49.76,50.65,48.1,14747236,1
2018/11/12,49.74,51.37,51.85,49.46,13434891,1
2018/11/13,50.38,50.76,52.2,50.26,10637989,1
2018/11/14,50.69,51.65,52.55,50.64,10261528,1
2018/11/15,51.42,51.56,52.04,51.12,6978879,1
2018/11/16,51.75,51.31,52.45,50.65,11378042,1
2018/11/19,51.47,54.44,55.04,51.34,16326195,1
2018/11/20,53.74,55.14,56.71,53.15,17403607,1
2018/11/21,54.5,54.74,55.73,53.84,9454931,1
2018/11/22,54.39,55.04,56.69,54.39,10248785,1
2018/11/23,55.04,53.74,55.41,53.06,9562441,1
2018/11/26,53.65,53.9,55.04,53.23,8314051,1
2018/11/27,54.29,56.98,57.13,54.29,15991440,1
2018/11/28,56.98,57.38,58.4,56.04,12153578,1
2018/11/29,57.58,57.38,58.82,56.83,10542031,1
2018/11/30,57.16,56.73,58.12,56.15,9007552,1
2018/12/3,58.07,55.81,58.64,55.32,19518391,1
2018/12/4,55.14,56.05,56.57,54.85,11884323,1
2018/12/5,55.39,57.66,57.87,54.88,15699283,1
2018/12/6,57.24,55.09,57.53,54.62,13647198,1
2018/12/7,55.63,56.62,57.63,55.29,12695621,1
2018/12/10,55.75,55.13,56.28,54.79,11604953,1
2018/12/11,55.46,55.89,57.07,55.44,11200894,1
2018/12/12,56.43,57.97,58.2,56.33,13182921,1
2018/12/13,57.97,58.12,58.28,56.85,10154657,1
2018/12/14,58.09,57.03,58.71,56.63,9335386,1
2018/12/17,56.4,54.63,56.73,53.74,14363710,1
2018/12/18,53.79,54.78,55.83,53.72,9180051,1
2018/12/19,54.95,53.25,55.68,53.13,11390322,1
2018/12/20,53.26,53.61,54.08,52.58,10481930,1
2018/12/21,53.36,52.73,53.93,51.67,10370064,1
2018/12/24,52.48,52.96,53.19,51.83,8198950,1
2018/12/25,52.35,51.97,52.74,50.64,11299215,1
2018/12/26,51.99,50.76,52.43,50.76,7775935,1
2018/12/27,51.86,50.6,52.2,50.52,10124158,1
2018/12/28,50.62,50.76,51.16,49.87,8290017,1
2019/1/2,50.78,48.94,51.15,48.75,8596208,1
2019/1/3,49.03,47.83,49.63,47.75,8387533,1
2019/1/4,47.57,50.41,50.76,47.28,12714076,1
2019/1/7,50.61,51.15,51.63,49.76,13669369,1
2019/1/8,52.05,52.63,53.39,51.8,14775220,1
2019/1/9,51.55,50.22,52.75,48.27,26345459,1
2019/1/10,49.66,48.62,49.95,48.41,15418705,1
2019/1/11,48.27,48.79,49.06,48.15,9726075,1
2019/1/14,48.97,48.57,48.98,47.09,11026923,1
2019/1/15,48.16,48.57,48.73,47.62,8392863,1
2019/1/16,48.57,48.7,48.89,48.09,6623789,1
2019/1/17,48.67,47.26,48.68,47.11,9921425,1
2019/1/18,47.26,46.6,47.26,45.82,12659622,1
2019/1/21,46.54,47.98,48.03,45.9,13185853,1
2019/1/22,47.83,47.47,48.57,47.37,8449444,1
2019/1/23,47.2,48.57,48.65,47.11,9708002,1
2019/1/24,48.7,48.29,48.74,47.43,7205326,1
2019/1/25,48.32,48.95,49.4,47.96,10141004,1
2019/1/28,48.97,48.23,49.61,48.05,8666455,1
2019/1/29,48.22,47.77,48.22,46.81,6179620,1
